boule,frequence,freq_par_tirage,prob_empirique
1,201,0.10618066561014262,0.10618066561014262
2,192,0.10142630744849446,0.10142630744849446
3,209,0.1104067617538299,0.1104067617538299
4,208,0.109878499735869,0.109878499735869
5,197,0.10406761753829899,0.10406761753829899
6,194,0.10248283148441627,0.10248283148441627
7,208,0.109878499735869,0.109878499735869
8,194,0.10248283148441627,0.10248283148441627
9,206,0.10882197569994717,0.10882197569994717
10,216,0.11410459587955626,0.11410459587955626
11,210,0.1109350237717908,0.1109350237717908
12,204,0.10776545166402536,0.10776545166402536
13,190,0.10036978341257263,0.10036978341257263
14,189,0.09984152139461172,0.09984152139461172
15,185,0.09772847332276809,0.09772847332276809
16,183,0.09667194928684628,0.09667194928684628
17,197,0.10406761753829899,0.10406761753829899
18,165,0.08716323296354993,0.08716323296354993
19,204,0.10776545166402536,0.10776545166402536
20,193,0.10195456946645536,0.10195456946645536
21,205,0.10829371368198626,0.10829371368198626
22,145,0.07659799260433175,0.07659799260433175
23,210,0.1109350237717908,0.1109350237717908
24,191,0.10089804543053355,0.10089804543053355
25,195,0.10301109350237718,0.10301109350237718
26,188,0.09931325937665082,0.09931325937665082
27,192,0.10142630744849446,0.10142630744849446
28,174,0.0919175911251981,0.0919175911251981
29,201,0.10618066561014262,0.10618066561014262
30,188,0.09931325937665082,0.09931325937665082
31,172,0.09086106708927628,0.09086106708927628
32,172,0.09086106708927628,0.09086106708927628
33,163,0.0861067089276281,0.0861067089276281
34,184,0.09720021130480719,0.09720021130480719
35,191,0.10089804543053355,0.10089804543053355
36,176,0.09297411516111992,0.09297411516111992
37,198,0.1045958795562599,0.1045958795562599
38,189,0.09984152139461172,0.09984152139461172
39,181,0.09561542525092445,0.09561542525092445
40,171,0.09033280507131537,0.09033280507131537
41,165,0.08716323296354993,0.08716323296354993
42,209,0.1104067617538299,0.1104067617538299
43,169,0.08927628103539356,0.08927628103539356
44,201,0.10618066561014262,0.10618066561014262
45,192,0.10142630744849446,0.10142630744849446
46,159,0.08399366085578447,0.08399366085578447
47,171,0.09033280507131537,0.09033280507131537
48,178,0.09403063919704173,0.09403063919704173
49,188,0.09931325937665082,0.09931325937665082
50,202,0.10670892762810354,0.10670892762810354
